Indicator Type,County,Value
College_Degrees,51109,17.10
College_Degrees,51117,14.20
College_Degrees,51121,43.80
College_Degrees,51137,23.10
College_Degrees,51139,12.50
College_Degrees,51143,14.20
College_Degrees,51145,26.70
College_Degrees,51147,22.90
College_Degrees,51149,17.30
College_Degrees,51153,37.20
College_Degrees,51155,15.40
College_Degrees,51161,33.00
College_Degrees,51163,22.80
College_Degrees,51165,24.00
College_Degrees,51167,10.70
College_Degrees,51169,10.50
College_Degrees,51171,19.00
College_Degrees,51173,13.20
College_Degrees,51177,27.90
College_Degrees,51179,35.60
College_Degrees,51185,11.40
College_Degrees,51187,18.10
College_Degrees,51191,21.40
College_Degrees,51195,12.50
College_Degrees,51197,13.30
College_Degrees,51199,41.60
College_Degrees,51510,60.50
College_Degrees,51540,48.50
College_Degrees,51550,28.70
College_Degrees,51590,16.60
College_Degrees,51600,53.10
College_Degrees,51630,34.00
College_Degrees,51650,22.80
College_Degrees,51660,36.10
College_Degrees,51670,8.90
College_Degrees,51680,31.60
College_Degrees,51683,27.50
College_Degrees,51700,24.00
College_Degrees,51710,25.40
College_Degrees,51730,13.30
College_Degrees,51740,19.20
College_Degrees,51760,34.30
College_Degrees,51770,23.90
College_Degrees,51775,31.50
College_Degrees,51790,30.60
College_Degrees,51800,25.30
College_Degrees,51810,32.50
College_Degrees,51820,20.80
College_Degrees,51840,28.20
No_Insurance,51001,22.60
No_Insurance,51003,13.10
No_Insurance,51005,15.40
No_Insurance,51007,21.10
No_Insurance,51009,17.20
No_Insurance,51011,16.90
No_Insurance,51013,12.00
No_Insurance,51015,15.80
No_Insurance,51017,18.10
No_Insurance,51019,15.10
No_Insurance,51021,16.60
No_Insurance,51023,13.30
No_Insurance,51025,17.50
No_Insurance,51027,16.10
No_Insurance,51029,20.40
No_Insurance,51031,16.80
No_Insurance,51033,16.40
No_Insurance,51035,20.30
No_Insurance,51036,21.20
No_Insurance,51037,20.70
No_Insurance,51041,13.50
No_Insurance,51043,13.80
No_Insurance,51045,17.90
No_Insurance,51047,16.40
No_Insurance,51049,20.10
No_Insurance,51051,16.00
No_Insurance,51053,17.00
No_Insurance,51057,16.30
No_Insurance,51059,12.90
No_Insurance,51061,13.40
No_Insurance,51063,20.30
No_Insurance,51065,14.50
No_Insurance,51067,18.50
No_Insurance,51069,15.70
No_Insurance,51071,16.50
No_Insurance,51073,15.50
No_Insurance,51075,10.30
No_Insurance,51077,19.60
No_Insurance,51079,17.30
No_Insurance,51081,15.40
No_Insurance,51083,16.80
No_Insurance,51085,9.60
No_Insurance,51087,14.60
No_Insurance,51089,21.60
No_Insurance,51091,24.80
No_Insurance,51093,12.10
No_Insurance,51095,11.80
No_Insurance,51097,18.80
No_Insurance,51099,10.70
No_Insurance,51101,14.20
No_Insurance,51103,18.10
No_Insurance,51105,16.40
No_Insurance,51107,8.70
No_Insurance,51109,16.30
No_Insurance,51111,20.10
No_Insurance,51113,19.70
No_Insurance,51115,16.90
No_Insurance,51117,19.80
No_Insurance,51119,17.90
No_Insurance,51121,17.20
No_Insurance,51125,18.60
No_Insurance,51127,13.40
No_Insurance,51131,20.20
No_Insurance,51133,19.70
No_Insurance,51135,19.80
No_Insurance,51137,16.40
No_Insurance,51139,18.50
No_Insurance,51141,19.30
No_Insurance,51143,18.30
No_Insurance,51145,13.80
No_Insurance,51147,18.20
No_Insurance,51149,12.60
No_Insurance,51153,15.50
No_Insurance,51155,15.90
No_Insurance,51157,18.20
No_Insurance,51159,19.40
No_Insurance,51161,11.60
No_Insurance,51163,17.40
No_Insurance,51165,18.70
No_Insurance,51167,17.30
No_Insurance,51169,15.80
No_Insurance,51171,18.40
No_Insurance,51173,16.40
No_Insurance,51175,15.00
No_Insurance,51177,13.50
No_Insurance,51179,10.70
No_Insurance,51181,15.40
No_Insurance,51183,18.20
No_Insurance,51185,17.10
No_Insurance,51187,16.70
No_Insurance,51191,16.80
No_Insurance,51193,19.10
No_Insurance,51195,16.70
No_Insurance,51197,18.60
No_Insurance,51199,10.70
No_Insurance,51510,15.00
No_Insurance,51515,16.30
No_Insurance,51520,16.10
No_Insurance,51530,17.50
No_Insurance,51540,17.60
No_Insurance,51550,12.30
No_Insurance,51570,15.70
No_Insurance,51580,16.00
No_Insurance,51590,17.40
No_Insurance,51595,18.20
No_Insurance,51600,13.70
No_Insurance,51610,8.20
No_Insurance,51620,16.40
No_Insurance,51630,18.10
No_Insurance,51640,20.40
No_Insurance,51650,15.40
No_Insurance,51660,22.40
No_Insurance,51670,18.20
No_Insurance,51678,18.70
No_Insurance,51680,17.40
No_Insurance,51683,21.10
No_Insurance,51685,23.60
No_Insurance,51690,17.90
No_Insurance,51700,15.50
No_Insurance,51710,17.50
No_Insurance,51720,12.90
No_Insurance,51730,18.70
No_Insurance,51735,10.90
No_Insurance,51740,14.90
No_Insurance,51750,18.60
No_Insurance,51760,19.80
No_Insurance,51770,18.50
No_Insurance,51775,13.90
No_Insurance,51790,16.30
No_Insurance,51800,12.90
No_Insurance,51810,13.50
No_Insurance,51820,17.20
No_Insurance,51830,18.40
No_Insurance,51840,21.40
No_Insurance,51001,20.30
No_Insurance,51003,11.90
No_Insurance,51005,13.60
No_Insurance,51007,17.90
No_Insurance,51009,16.00
No_Insurance,51011,16.60
No_Insurance,51013,11.80
No_Insurance,51015,14.50
No_Insurance,51017,17.90
No_Insurance,51019,13.60
No_Insurance,51021,16.10
No_Insurance,51023,11.70
No_Insurance,51025,20.00
No_Insurance,51027,18.50
No_Insurance,51029,20.70
No_Insurance,51031,15.10
No_Insurance,51033,16.20
No_Insurance,51035,18.10
No_Insurance,51036,19.00
No_Insurance,51037,19.40
No_Insurance,51041,11.40
No_Insurance,51043,12.80
No_Insurance,51045,17.10
No_Insurance,51047,15.70
No_Insurance,51049,18.30
No_Insurance,51051,17.10
No_Insurance,51053,14.90
No_Insurance,51057,15.70
No_Insurance,51059,10.90
No_Insurance,51061,11.80
No_Insurance,51063,19.40
No_Insurance,51065,13.80
No_Insurance,51067,16.30
No_Insurance,51069,13.60
No_Insurance,51071,14.10
No_Insurance,51073,14.20
No_Insurance,51075,10.60
No_Insurance,51077,18.30
No_Insurance,51079,15.80
No_Insurance,51081,18.50
No_Insurance,51083,16.70
No_Insurance,51085,9.70
No_Insurance,51087,12.90
No_Insurance,51089,18.50
No_Insurance,51091,24.40
No_Insurance,51093,12.80
No_Insurance,51095,10.00
No_Insurance,51097,17.50
No_Insurance,51099,11.80
No_Insurance,51101,13.00
No_Insurance,51103,16.60
No_Insurance,51105,18.00
No_Insurance,51107,7.10
No_Insurance,51109,15.60
No_Insurance,51111,19.40
No_Insurance,51113,17.70
No_Insurance,51115,14.90
No_Insurance,51117,18.20
No_Insurance,51119,18.10
No_Insurance,51121,14.10
No_Insurance,51125,17.60
No_Insurance,51127,13.30
No_Insurance,51131,19.90
No_Insurance,51133,17.30
No_Insurance,51135,20.00
No_Insurance,51137,15.60
No_Insurance,51139,18.20
No_Insurance,51141,18.70
No_Insurance,51143,17.00
No_Insurance,51145,14.00
No_Insurance,51147,18.90
No_Insurance,51149,14.00
No_Insurance,51153,12.80
No_Insurance,51155,15.00
No_Insurance,51157,17.30
No_Insurance,51159,22.20
No_Insurance,51161,10.30
No_Insurance,51163,16.80
No_Insurance,51165,17.10
No_Insurance,51167,17.00
No_Insurance,51169,17.40
No_Insurance,51171,16.10
No_Insurance,51173,16.60
No_Insurance,51175,18.20
No_Insurance,51177,12.10
No_Insurance,51179,10.10
No_Insurance,51181,14.90
No_Insurance,51183,21.80
No_Insurance,51185,17.30
No_Insurance,51187,15.20
No_Insurance,51191,16.20
No_Insurance,51193,18.90
No_Insurance,51195,16.80
No_Insurance,51197,16.50
No_Insurance,51199,9.40
No_Insurance,51510,13.10
No_Insurance,51515,18.20
No_Insurance,51520,16.20
No_Insurance,51530,16.60
No_Insurance,51540,15.90
No_Insurance,51550,12.10
No_Insurance,51570,14.10
No_Insurance,51580,17.90
No_Insurance,51590,16.00
No_Insurance,51595,18.30
No_Insurance,51600,14.20
No_Insurance,51610,7.10
No_Insurance,51620,17.10
